 time            v(in)           v(out_a)        v(out_b)       
 9.21276779e-03  5.00000000e+00  4.99864358e+00  4.58485669e+00 
 9.22276779e-03  5.00000000e+00  4.99865707e+00  4.58611280e+00 
 9.23276779e-03  5.00000000e+00  4.99867043e+00  4.58736510e+00 
 9.24276779e-03  5.00000000e+00  4.99868366e+00  4.58861362e+00 
 9.25276779e-03  5.00000000e+00  4.99869676e+00  4.58985836e+00 
 9.26276779e-03  5.00000000e+00  4.99870973e+00  4.59109933e+00 
 9.27276779e-03  5.00000000e+00  4.99872257e+00  4.59233655e+00 
 9.28276779e-03  5.00000000e+00  4.99873528e+00  4.59357003e+00 
 9.29276779e-03  5.00000000e+00  4.99874786e+00  4.59479977e+00 
 9.30276779e-03  5.00000000e+00  4.99876032e+00  4.59602579e+00 
 9.31276779e-03  5.00000000e+00  4.99877266e+00  4.59724810e+00 
 9.32276779e-03  5.00000000e+00  4.99878487e+00  4.59846672e+00 
 9.33276779e-03  5.00000000e+00  4.99879696e+00  4.59968164e+00 
 9.34276779e-03  5.00000000e+00  4.99880893e+00  4.60089290e+00 
 9.35276779e-03  5.00000000e+00  4.99882078e+00  4.60210048e+00 
 9.36276779e-03  5.00000000e+00  4.99883252e+00  4.60330441e+00 
 9.37276779e-03  5.00000000e+00  4.99884413e+00  4.60450470e+00 
 9.38276779e-03  5.00000000e+00  4.99885563e+00  4.60570136e+00 
 9.39276779e-03  5.00000000e+00  4.99886702e+00  4.60689440e+00 
 9.40276779e-03  5.00000000e+00  4.99887829e+00  4.60808382e+00 
 9.41276779e-03  5.00000000e+00  4.99888946e+00  4.60926965e+00 
 9.42276779e-03  5.00000000e+00  4.99890051e+00  4.61045189e+00 
 9.43276779e-03  5.00000000e+00  4.99891145e+00  4.61163055e+00 
 9.44276779e-03  5.00000000e+00  4.99892228e+00  4.61280565e+00 
 9.45276779e-03  5.00000000e+00  4.99893300e+00  4.61397719e+00 
 9.46276779e-03  5.00000000e+00  4.99894362e+00  4.61514519e+00 
 9.47276779e-03  5.00000000e+00  4.99895413e+00  4.61630965e+00 
 9.48276779e-03  5.00000000e+00  4.99896454e+00  4.61747059e+00 
 9.49276779e-03  5.00000000e+00  4.99897484e+00  4.61862802e+00 
 9.50276779e-03  5.00000000e+00  4.99898504e+00  4.61978194e+00 
 9.51276779e-03  5.00000000e+00  4.99899514e+00  4.62093237e+00 
 9.52276779e-03  5.00000000e+00  4.99900514e+00  4.62207933e+00 
 9.53276779e-03  5.00000000e+00  4.99901504e+00  4.62322281e+00 
 9.54276779e-03  5.00000000e+00  4.99902484e+00  4.62436283e+00 
 9.55276779e-03  5.00000000e+00  4.99903454e+00  4.62549940e+00 
 9.56276779e-03  5.00000000e+00  4.99904415e+00  4.62663254e+00 
 9.57276779e-03  5.00000000e+00  4.99905366e+00  4.62776224e+00 
 9.58276779e-03  5.00000000e+00  4.99906307e+00  4.62888853e+00 
 9.59276779e-03  5.00000000e+00  4.99907240e+00  4.63001141e+00 
 9.60276779e-03  5.00000000e+00  4.99908163e+00  4.63113089e+00 
 9.61276779e-03  5.00000000e+00  4.99909076e+00  4.63224698e+00 
 9.62276779e-03  5.00000000e+00  4.99909981e+00  4.63335970e+00 
 9.63276779e-03  5.00000000e+00  4.99910877e+00  4.63446905e+00 
 9.64276779e-03  5.00000000e+00  4.99911764e+00  4.63557504e+00 
 9.65276779e-03  5.00000000e+00  4.99912642e+00  4.63667769e+00 
 9.66276779e-03  5.00000000e+00  4.99913511e+00  4.63777700e+00 
 9.67276779e-03  5.00000000e+00  4.99914371e+00  4.63887299e+00 
 9.68276779e-03  5.00000000e+00  4.99915224e+00  4.63996565e+00 
 9.69276779e-03  5.00000000e+00  4.99916067e+00  4.64105502e+00 
 9.70276779e-03  5.00000000e+00  4.99916902e+00  4.64214108e+00 
 9.71276779e-03  5.00000000e+00  4.99917729e+00  4.64322386e+00 
 9.72276779e-03  5.00000000e+00  4.99918548e+00  4.64430337e+00 
 9.73276779e-03  5.00000000e+00  4.99919358e+00  4.64537961e+00 
 9.74276779e-03  5.00000000e+00  4.99920161e+00  4.64645259e+00 
 9.75276779e-03  5.00000000e+00  4.99920955e+00  4.64752232e+00 
 9.76276779e-03  5.00000000e+00  4.99921741e+00  4.64858882e+00 
 9.77276779e-03  5.00000000e+00  4.99922520e+00  4.64965209e+00 
 9.78276779e-03  5.00000000e+00  4.99923291e+00  4.65071215e+00 
 9.79276779e-03  5.00000000e+00  4.99924054e+00  4.65176899e+00 
 9.80276779e-03  5.00000000e+00  4.99924810e+00  4.65282264e+00 
 9.81276779e-03  5.00000000e+00  4.99925558e+00  4.65387310e+00 
 9.82276779e-03  5.00000000e+00  4.99926299e+00  4.65492039e+00 
 9.83276779e-03  5.00000000e+00  4.99927032e+00  4.65596450e+00 
 9.84276779e-03  5.00000000e+00  4.99927758e+00  4.65700545e+00 
 9.85276779e-03  5.00000000e+00  4.99928477e+00  4.65804326e+00 
 9.86276779e-03  5.00000000e+00  4.99929189e+00  4.65907792e+00 
 9.87276779e-03  5.00000000e+00  4.99929893e+00  4.66010946e+00 
 9.88276779e-03  5.00000000e+00  4.99930591e+00  4.66113787e+00 
 9.89276779e-03  5.00000000e+00  4.99931282e+00  4.66216317e+00 
 9.90276779e-03  5.00000000e+00  4.99931965e+00  4.66318537e+00 
 9.91276779e-03  5.00000000e+00  4.99932642e+00  4.66420448e+00 
 9.92276779e-03  5.00000000e+00  4.99933313e+00  4.66522050e+00 
 9.93276779e-03  5.00000000e+00  4.99933976e+00  4.66623345e+00 
 9.94276779e-03  5.00000000e+00  4.99934633e+00  4.66724333e+00 
 9.95276779e-03  5.00000000e+00  4.99935284e+00  4.66825016e+00 
 9.96276779e-03  5.00000000e+00  4.99935927e+00  4.66925394e+00 
 9.97276779e-03  5.00000000e+00  4.99936565e+00  4.67025469e+00 
 9.98276779e-03  5.00000000e+00  4.99937196e+00  4.67125240e+00 
 9.99276779e-03  5.00000000e+00  4.99937821e+00  4.67224710e+00 
 1.00027678e-02  5.00000000e+00  4.99938440e+00  4.67323879e+00 
 1.00127678e-02  5.00000000e+00  4.99939052e+00  4.67422748e+00 
 1.00227678e-02  5.00000000e+00  4.99939659e+00  4.67521317e+00 
 1.00327678e-02  5.00000000e+00  4.99940259e+00  4.67619589e+00 
 1.00427678e-02  5.00000000e+00  4.99940854e+00  4.67717563e+00 
 1.00527678e-02  5.00000000e+00  4.99941442e+00  4.67815240e+00 
 1.00627678e-02  5.00000000e+00  4.99942025e+00  4.67912622e+00 
 1.00727678e-02  5.00000000e+00  4.99942602e+00  4.68009710e+00 
 1.00827678e-02  5.00000000e+00  4.99943173e+00  4.68106503e+00 
 1.00927678e-02  5.00000000e+00  4.99943738e+00  4.68203004e+00 
 1.01027678e-02  5.00000000e+00  4.99944298e+00  4.68299213e+00 
 1.01127678e-02  5.00000000e+00  4.99944852e+00  4.68395130e+00 
