 time            v(in)           v(out)          i(V1)          
 1.81998500e-02  0.00000000e+00  1.39739846e-06  1.39739846e-09 
 1.82098500e-02  0.00000000e+00  1.36972720e-06  1.36972720e-09 
 1.82198500e-02  0.00000000e+00  1.34260389e-06  1.34260389e-09 
 1.82298500e-02  0.00000000e+00  1.31601767e-06  1.31601767e-09 
 1.82398500e-02  0.00000000e+00  1.28995792e-06  1.28995792e-09 
 1.82498500e-02  0.00000000e+00  1.26441420e-06  1.26441420e-09 
 1.82598500e-02  0.00000000e+00  1.23937629e-06  1.23937629e-09 
 1.82698500e-02  0.00000000e+00  1.21483419e-06  1.21483419e-09 
 1.82798500e-02  0.00000000e+00  1.19077807e-06  1.19077807e-09 
 1.82898500e-02  0.00000000e+00  1.16719830e-06  1.16719830e-09 
 1.82998500e-02  0.00000000e+00  1.14408546e-06  1.14408546e-09 
 1.83098500e-02  0.00000000e+00  1.12143031e-06  1.12143031e-09 
 1.83198500e-02  0.00000000e+00  1.09922377e-06  1.09922377e-09 
 1.83298500e-02  0.00000000e+00  1.07745696e-06  1.07745696e-09 
 1.83398500e-02  0.00000000e+00  1.05612118e-06  1.05612118e-09 
 1.83498500e-02  0.00000000e+00  1.03520789e-06  1.03520789e-09 
 1.83598500e-02  0.00000000e+00  1.01470872e-06  1.01470872e-09 
 1.83698500e-02  0.00000000e+00  9.94615478e-07  9.94615478e-10 
 1.83798500e-02  0.00000000e+00  9.74920122e-07  9.74920122e-10 
 1.83898500e-02  0.00000000e+00  9.55614773e-07  9.55614773e-10 
 1.83998500e-02  0.00000000e+00  9.36691708e-07  9.36691708e-10 
 1.84098500e-02  0.00000000e+00  9.18143358e-07  9.18143358e-10 
 1.84198500e-02  0.00000000e+00  8.99962301e-07  8.99962301e-10 
 1.84298500e-02  0.00000000e+00  8.82141265e-07  8.82141265e-10 
 1.84398500e-02  0.00000000e+00  8.64673122e-07  8.64673122e-10 
 1.84498500e-02  0.00000000e+00  8.47550881e-07  8.47550881e-10 
 1.84598500e-02  0.00000000e+00  8.30767696e-07  8.30767696e-10 
 1.84698500e-02  0.00000000e+00  8.14316850e-07  8.14316850e-10 
 1.84798500e-02  0.00000000e+00  7.98191764e-07  7.98191764e-10 
 1.84898500e-02  0.00000000e+00  7.82385987e-07  7.82385987e-10 
 1.84998500e-02  0.00000000e+00  7.66893195e-07  7.66893195e-10 
 1.85098500e-02  0.00000000e+00  7.51707191e-07  7.51707191e-10 
 1.85198500e-02  0.00000000e+00  7.36821900e-07  7.36821900e-10 
 1.85298500e-02  0.00000000e+00  7.22231367e-07  7.22231367e-10 
 1.85398500e-02  0.00000000e+00  7.07929756e-07  7.07929756e-10 
 1.85498500e-02  0.00000000e+00  6.93911345e-07  6.93911345e-10 
 1.85598500e-02  0.00000000e+00  6.80170526e-07  6.80170526e-10 
 1.85698500e-02  0.00000000e+00  6.66701803e-07  6.66701803e-10 
 1.85798500e-02  0.00000000e+00  6.53499787e-07  6.53499787e-10 
 1.85898500e-02  0.00000000e+00  6.40559197e-07  6.40559197e-10 
 1.85998500e-02  0.00000000e+00  6.27874857e-07  6.27874857e-10 
 1.86098500e-02  0.00000000e+00  6.15441691e-07  6.15441691e-10 
 1.86198500e-02  0.00000000e+00  6.03254727e-07  6.03254727e-10 
 1.86298500e-02  0.00000000e+00  5.91309089e-07  5.91309089e-10 
 1.86398500e-02  0.00000000e+00  5.79599998e-07  5.79599998e-10 
 1.86498500e-02  0.00000000e+00  5.68122770e-07  5.68122770e-10 
 1.86598500e-02  0.00000000e+00  5.56872815e-07  5.56872815e-10 
 1.86698500e-02  0.00000000e+00  5.45845630e-07  5.45845630e-10 
 1.86798500e-02  0.00000000e+00  5.35036806e-07  5.35036806e-10 
 1.86898500e-02  0.00000000e+00  5.24442018e-07  5.24442018e-10 
 1.86998500e-02  0.00000000e+00  5.14057027e-07  5.14057027e-10 
 1.87098500e-02  0.00000000e+00  5.03877680e-07  5.03877680e-10 
 1.87198500e-02  0.00000000e+00  4.93899904e-07  4.93899904e-10 
 1.87298500e-02  0.00000000e+00  4.84119708e-07  4.84119708e-10 
 1.87398500e-02  0.00000000e+00  4.74533179e-07  4.74533179e-10 
 1.87498500e-02  0.00000000e+00  4.65136483e-07  4.65136483e-10 
 1.87598500e-02  0.00000000e+00  4.55925859e-07  4.55925859e-10 
 1.87698500e-02  0.00000000e+00  4.46897624e-07  4.46897624e-10 
 1.87798500e-02  0.00000000e+00  4.38048166e-07  4.38048166e-10 
