 time            v(in)           v(out)         
 1.93276939e-03  5.00000000e+00  3.03172823e+00 
 1.94276939e-03  5.00000000e+00  3.05131302e+00 
 1.95276939e-03  5.00000000e+00  3.07070294e+00 
 1.96276939e-03  5.00000000e+00  3.08989992e+00 
 1.97276939e-03  5.00000000e+00  3.10890590e+00 
 1.98276939e-03  5.00000000e+00  3.12772275e+00 
 1.99276939e-03  5.00000000e+00  3.14635238e+00 
 2.00276939e-03  5.00000000e+00  3.16479663e+00 
 2.01276939e-03  5.00000000e+00  3.18305736e+00 
 2.02276939e-03  5.00000000e+00  3.20113639e+00 
 2.03276939e-03  5.00000000e+00  3.21903553e+00 
 2.04276939e-03  5.00000000e+00  3.23675657e+00 
 2.05276939e-03  5.00000000e+00  3.25430128e+00 
 2.06276939e-03  5.00000000e+00  3.27167142e+00 
 2.07276939e-03  5.00000000e+00  3.28886872e+00 
 2.08276939e-03  5.00000000e+00  3.30589490e+00 
 2.09276939e-03  5.00000000e+00  3.32275167e+00 
 2.10276939e-03  5.00000000e+00  3.33944071e+00 
 2.11276939e-03  5.00000000e+00  3.35596368e+00 
 2.12276939e-03  5.00000000e+00  3.37232225e+00 
 2.13276939e-03  5.00000000e+00  3.38851805e+00 
 2.14276939e-03  5.00000000e+00  3.40455270e+00 
 2.15276939e-03  5.00000000e+00  3.42042780e+00 
 2.16276939e-03  5.00000000e+00  3.43614493e+00 
 2.17276939e-03  5.00000000e+00  3.45170568e+00 
 2.18276939e-03  5.00000000e+00  3.46711159e+00 
 2.19276939e-03  5.00000000e+00  3.48236421e+00 
 2.20276939e-03  5.00000000e+00  3.49746507e+00 
 2.21276939e-03  5.00000000e+00  3.51241566e+00 
 2.22276939e-03  5.00000000e+00  3.52721750e+00 
 2.23276939e-03  5.00000000e+00  3.54187205e+00 
 2.24276939e-03  5.00000000e+00  3.55638079e+00 
 2.25276939e-03  5.00000000e+00  3.57074516e+00 
 2.26276939e-03  5.00000000e+00  3.58496660e+00 
 2.27276939e-03  5.00000000e+00  3.59904653e+00 
 2.28276939e-03  5.00000000e+00  3.61298637e+00 
 2.29276939e-03  5.00000000e+00  3.62678750e+00 
 2.30276939e-03  5.00000000e+00  3.64045131e+00 
 2.31276939e-03  5.00000000e+00  3.65397915e+00 
 2.32276939e-03  5.00000000e+00  3.66737240e+00 
 2.33276939e-03  5.00000000e+00  3.68063237e+00 
 2.34276939e-03  5.00000000e+00  3.69376041e+00 
 2.35276939e-03  5.00000000e+00  3.70675782e+00 
 2.36276939e-03  5.00000000e+00  3.71962590e+00 
 2.37276939e-03  5.00000000e+00  3.73236594e+00 
 2.38276939e-03  5.00000000e+00  3.74497921e+00 
 2.39276939e-03  5.00000000e+00  3.75746698e+00 
